       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.8000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.134  -8.157  -9.458 -11.298 -11.878 -10.979 -11.765 -12.206 -12.049 -12.314   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -7.954  -7.977  -9.278 -11.118 -11.698 -10.799 -11.585 -12.026 -11.869 -12.134   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.774  -7.797  -9.098 -10.938 -11.518 -10.619 -11.405 -11.846 -11.689 -11.954   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.594  -7.617  -8.918 -10.758 -11.338 -10.439 -11.225 -11.666 -11.509 -11.774   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.414  -7.437  -8.738 -10.578 -11.158 -10.259 -11.045 -11.486 -11.329 -11.594   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.234  -7.257  -8.558 -10.398 -10.978 -10.079 -10.865 -11.306 -11.149 -11.414   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.054  -7.077  -8.378 -10.218 -10.798  -9.899 -10.685 -11.126 -10.969 -11.234   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.874  -6.897  -8.198 -10.038 -10.618  -9.719 -10.505 -10.946 -10.789 -11.054   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.694  -6.717  -8.018  -9.858 -10.438  -9.539 -10.325 -10.766 -10.609 -10.874   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.514  -6.537  -7.838  -9.678 -10.258  -9.359 -10.145 -10.586 -10.429 -10.694   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.334  -6.357  -7.658  -9.498 -10.078  -9.179  -9.965 -10.406 -10.249 -10.514   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.154  -6.177  -7.478  -9.318  -9.898  -8.999  -9.785 -10.226 -10.069 -10.334   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -5.942  -7.243  -9.084  -9.664  -8.764  -9.550  -9.992  -9.835 -10.099   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.702  -7.003  -8.844  -9.424  -8.524  -9.310  -9.752  -9.595  -9.859   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.462  -6.763  -8.604  -9.184  -8.284  -9.070  -9.512  -9.354  -9.619   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.222  -6.523  -8.364  -8.944  -8.044  -8.830  -9.272  -9.114  -9.379   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -4.982  -6.283  -8.124  -8.704  -7.804  -8.590  -9.032  -8.874  -9.139   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720  -4.742  -6.043  -7.884  -8.464  -7.564  -8.350  -8.792  -8.634  -8.899   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480  -4.502  -5.803  -7.644  -8.224  -7.324  -8.110  -8.552  -8.395  -8.659   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.240  -4.262  -5.563  -7.404  -7.984  -7.084  -7.870  -8.312  -8.155  -8.419   0.000   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   0.999   1.000   1.000
 3.30  -4.000  -4.022  -5.323  -7.164  -7.744  -6.844  -7.630  -8.072  -7.915  -8.179   0.000   0.000   0.000   0.000   0.000   0.000   0.034   0.001   0.005   1.000   1.000   1.000   1.000   1.000   1.000   0.966   0.999   0.995
 3.36  -3.760  -3.782  -5.083  -6.924  -7.504  -6.604  -7.390  -7.832  -7.675  -7.939   0.000   0.000   0.000   0.000   0.000   0.000   0.404   0.017   0.100   1.000   1.000   1.000   1.000   1.000   1.000   0.596   0.983   0.900
 3.42  -3.520  -3.542  -4.844  -6.684  -7.264  -6.364  -7.150  -7.592  -7.435  -7.700   0.000   0.000   0.000   0.000   0.000   0.000   0.951   0.407   0.788   1.000   1.000   1.000   1.000   1.000   1.000   0.049   0.593   0.212
 3.48  -3.280  -3.303  -4.604  -6.444  -7.024  -6.124  -6.910  -7.352  -7.195  -7.460   0.000   0.000   0.000   0.000   0.000   0.000   0.999   0.975   0.995   1.000   1.000   1.000   1.000   1.000   1.000   0.001   0.025   0.005
 3.54  -3.040  -3.063  -4.364  -6.204  -6.784  -5.884  -6.670  -7.112  -6.955  -7.220   0.000   0.000   0.045   0.000   0.000   0.000   1.000   0.999   1.000   1.000   1.000   0.955   1.000   1.000   1.000   0.000   0.001   0.000
 3.60  -2.800  -2.823  -4.124  -5.964  -6.545  -5.645  -6.431  -6.873  -6.715  -6.980   0.001   0.000   0.516   0.000   0.001   0.000   1.000   1.000   1.000   0.999   1.000   0.484   1.000   0.999   1.000   0.000   0.000   0.000
