       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        1.0000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.800 -57.662 -58.264  -9.045 -12.083  -9.167 -11.969 -12.411 -12.253 -12.518   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.560 -57.422 -58.024  -8.805 -11.843  -8.927 -11.729 -12.171 -12.013 -12.278   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -8.320 -57.182 -57.784  -8.565 -11.603  -8.687 -11.489 -11.931 -11.773 -12.038   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -8.080 -56.942 -57.544  -8.325 -11.363  -8.447 -11.249 -11.691 -11.533 -11.798   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.840 -56.702 -57.304  -8.085 -11.123  -8.207 -11.009 -11.451 -11.293 -11.558   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.600 -56.462 -57.064  -7.845 -10.883  -7.967 -10.769 -11.211 -11.053 -11.318   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.360 -56.222 -56.824  -7.605 -10.643  -7.727 -10.529 -10.971 -10.813 -11.078   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -7.120 -55.982 -56.584  -7.365 -10.403  -7.487 -10.289 -10.731 -10.573 -10.838   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.880 -55.742 -56.344  -7.125 -10.163  -7.247 -10.049 -10.491 -10.333 -10.598   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.640 -55.502 -56.104  -6.885  -9.923  -7.007  -9.809 -10.251 -10.093 -10.358   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400 -55.262 -55.864  -6.645  -9.683  -6.767  -9.569 -10.011  -9.853 -10.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160 -55.022 -55.624  -6.405  -9.443  -6.527  -9.329  -9.771  -9.613  -9.878   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920 -54.782 -55.384  -6.165  -9.203  -6.287  -9.089  -9.531  -9.373  -9.638   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680 -54.542 -55.144  -5.925  -8.963  -6.047  -8.849  -9.291  -9.133  -9.398   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440 -54.302 -54.904  -5.685  -8.723  -5.807  -8.609  -9.051  -8.893  -9.158   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200 -54.062 -54.664  -5.445  -8.483  -5.567  -8.369  -8.811  -8.653  -8.918   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960 -53.822 -54.424  -5.205  -8.243  -5.327  -8.129  -8.571  -8.413  -8.678   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720 -53.582 -54.184  -4.965  -8.003  -5.087  -7.889  -8.331  -8.173  -8.438   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
